Country,Capital,Abrv,Population,Facebook_users,Internet_users
Macedonia,Skopje,MK,2085051,1000000,1583315
Montenegro,Podgorica,ME,629219,320000,439624
Serbia,Belgrade,RS,8762027,3400000,6325816
Turkey,Ankara,TR,81916817,44000000,56000000
Turkey Cypriot,Nicosia,NC.TR,164172,0,0
