Country,Capital,Abrv,Population,Facebook_users,Internet_users
Bermuda,Hamilton,BM,60833,39000,60342
Canada,Ottawa,CA,37279811,23000000,34558385
Greenland,Nuuk,GL,56673,38000,52000
Saint Pierre,Saint-Pierre,PM,6375,3100,5033
United States,Washington D.C,US,329093110,240000000,292892868
